COMUNE AZIENDA;TITOLARE;DENOMINAZIONE AZIENDA;INDIRIZZO AZIENDA;POSTI LETTO;POSTI MACCHINA;POSTI TENDA;POSTI ROULOTTE;RECAPITI
CARINOLA;MANNA FRANCESCO;MASSERIA COSTE DI CUMA;LOC. SELLECOLA;8;45;;;masseriacostedicuma@pec.it
CASTEL CAMPAGNANO;MIGLIACCIO DOMENICO;LA CASCINA DEGLI ULIVI SNC;VIA CAIAZZO,17;8;140;;;nd
CASTEL CAMPAGNANO;MAROTTA CORINTA;MAROTTA;VIA MARROCHELLE;6;;;;corinta.marotta@pec.agritel.it
CAPUA;AMICO ENRICO;LA COLOMBAIA;VIA GROTTE S.LAZZARO, 9;40;280;;;www.lacolombaia.it
CAPUA;CINQUE ANNA;TENUTA SAN DOMENICO;VIA CASA CERERE;12;40;;;nd
CAPUA;PASCA DI MAGLIANO ALESSANDRO;GIOSOLE S.A.S. DI ALESSANDRO PASCA DI MAGLIANO & C.;VIA GIARDINI, 31;10;40;;;nd
CAPUA;DE RISO PAOLO;DE RISO;VIA RAGOZZINO;;10;;;nd
CAPUA;ADINOLFI ANDREA;ADINOLFI ANDREA;VIA GALATINA;10;200;;;ANDREA.ADINOLFI63@gmail.com
CELLOLE;CAMERA BARBARA;ALBACHIARA;LOC.SCORBI;8;25;;;www.albachiaraagriturismo.com
CONCA DELLA CAMPANIA;LOMBARDO BERARDINO;TERRE DI CONCA;LOC. PIANTOLI;12;30;;;nd
CONCA DELLA CAMPANIA;DE NICOLA CESARE MASSIMO;DE NICOLA SOC.COOP  � CASTRUM�;VIA SESSA MIGNANO;;;;;nd
CONCA DELLA CAMPANIA;FARINA FELICE;LA PALOMBARA;VIA PRIMO NOVEMBRE,149;24;50;;;www.lapalombara.com
DRAGONI;D'ONOFRIO ANNA;D'ONOFRIO ANNA;FRAZ. SAN MARCO VIA SAN FERDINANDO;7;18;;;assuntarotondo@pec.it
FALCIANO DEL MASSICO;GALDIERI PASQUALE FRANCESCO;MASSERIA SAN ROCCO;VIA PENNUTOLA A VALLE, SNC;12;110;;;agriturismomasseriasanrocco@gmail.com
FORMICOLA;PAGLIARO MADDALENA;AGRIMONTE MAGGIORE;via case sparse;;;;;www.agrimontemaggiore.it
FRANCOLISE;PELLEGRINO ALFONSO;BORGOROSA;via bottacce;12;60;;;alfonso.pellegrino@conafpec.it
GALLUCCIO;AUMAIS SILVIA;ORTALI;LOC.ORTALI;7;60;;;aumaisilvia@pec.it
GIOIA SANNITICA;DI MARCO GIOVANNA;DI MARCO GIOVANNA;VIA CASTAGNETO;6;20;;;nd
GIOIA SANNITICA;MIGAS AGNIESZKA;CASALE O VARIGLIO;VIA SARDARULO,5A;6;20;;;nd
GIANO VETUSTO;GIULIANI  MARIA RAFFAELLA;LA SELVA PARK SRL;VIA A 15/A;23;40;;;nd
LIBERI;SABINO CRISTINA;IL SOFFIO;LOC. CESE;;40;;;cristinasabino@cia.legalmail.it
MADDALONI;CAMPOFREDA  ANNA;PUNTO VERDE SRL;VIA CORNATO,132;;;;;annacristinacamp@virgilio.it
MIGNANO MONTE LUNGO;D'ERRICO MASSIMILIANO;LA REGINELLA;VIA CONCEZIONE, 91;6;24;;;nd
MIGNANO MONTE LUNGO;ANNUNZIATA MASSIMO;I CASTELLUCCI;LOC. CASTELLUCCI;;40;;;info@icastellucci.it
MIGNANO MONTE LUNGO;CICCARELLI LOREDANA;ANTICA MASSERIA ANNOLISE;VIA ANNOLISE,22;12;;;;edusacco@tin.it
MONDRAGONE;DI VINCENZO PETRONILLA;DI VINCENZO PETRONILLA;via Anthea loc. monte pizzuto;16;60;5;;www.agriturismosanpancrazio.com
PIANA DI MONTE VERNA;MASTROIANNI GIULIO;LE GHIANDAIE;VIA POLIZZANO,2;12;45;;;www.agriturismoleghiandaie.it
PIANA DI MONTE VERNA;PERFETTO CARMINE;PERFETTO CARMINE;VILLA SANTA CROCE LOC.CESA FONTANELLE;;10;;;nd
PIETRAVAIRANO;MAGNANTE CECILIA;L'ANTICA PETRA;VIA CESOLLE,14;4;20;;;nd
PONTELATONE;CUTILLO ALFONSO;CASAVECCHIA;VIA MADONNA DELLE GRAZIE,28;4;10;;;nd
PONTELATONE;LETTIERI ANTHONY;ANTICA MASSERIA CAMPITELLI;VIA MADONNA DELLE GRAZIE,7;8;40;;;anthony.lettieri@coldiretti.it
PONTELATONE;MORELLI  BIANCA;IARMITI;SALOMONI,10;36;;;;nd
PONTELATONE;DI DOMENICO GIUSEPPE;AGRICAMPEGGIO LA CESA;VIA PONTE PELLEGRINO LOC.PEZZA;;;;;nd
PONTELATONE;TAMBURRINO MARIANGELA;VILLA PATRIZIA;VIA PONTE PELLEGRINO TRAV S. CRISTINA;;;;;nd
PONTELATONE;CARUSONE M.ANTONIETTA;CASALE LA MONTICELLA;VIA PONTE PELLEGRINO,34;;60;;;nd
PONTELATONE;BENCIVENGA CARMELA;LE FONTANELLE;VIA SALOMONI ACQUASANTA,14;;40;;;mariangela@srlsogeim.it
PONTELATONE;SALZILLO SALVATORE;ROTONDOLA;VIA MADONNA DELLE GRAZIE;;;6;;salzillosalvatore@pec.cgn.it
PONTELATONE;RAUSO ALESSANDRO;IL MELOGRANO;VIA PONTE PELLEGRINO loc. pezza 68c;;40;;;alerau2003@yahoo.it
PRATA SANNITA;LA BANCA ANGELO;LA MASSERIA DI MASTRANGELO;LOC. ACQUARO;6;35;;;nd
PRESENZANO;PUCA CARLO AUGUSTO;BOSCO FARNETO;LOC. BOSCO FARNETO;12;40;;;nd
PRESENZANO;PEZONE CATERINA;MASSERIA CARDILLI SRL;S.P.SARACENA C/DA Cardilli,3;;;;;nd
RIARDO;PONTECORVO MICHELE;MASSERIA DELLE SORGENTI FERRARELLE;C.DA  TUORO;;60;;;info@masseriadellesorgenti.it
ROCCA D'EVANDRO;FALCO FRANCESCO;IL VECCHIO MULINO;VIA PECCE, 1/3;;;;;nd
ROCCA D'EVANDRO;DEL GIUDICE MARGHERITA;ACQUAVIVA;VIA TORRIONE,2;;30;;;delgiudicemargherita@libero.it
ROCCA D'EVANDRO;ODIERNO RAFFAELE;ODIERNO;VIA CASAMARINA;6;32;;;societaagricolaodierno.sas@pec.it
ROCCAMONFINA;DE NICOLA VITTORIO;DE NICOLA VITTORIO;FFRAZIONE GALLO;;;6;;nd
ROCCAMONFINA;TABELLARIO  CARLO;CENNEMAIE;LOC.CENNAMAIE;;;6;;nd
ROCCAMONFINA;TABELLARIO  GIANFRANCO;CERCHIARA;LOC.CERCHIARA;;;6;;nd
ROCCAMONFINA;D'AGOSTINO DANIELA;D'AGOSTINO DANIELA;LOC.PEPINI;;;;;nd
ROCCAMONFINA;DE NICOLA CESARE;I SANTI;LOC SANTI E SERRE;4;20;;;nd
ROCCAMONFINA;DE BRITO JULIA ANTONIA;LA MIA COLLINA;LOC.PRATOLONGO;8;10;;;nd
SAN POTITO SANNITICO;DI MUCCIO ROSANNA;SAN CASSIANO;VIA SAN CASSIANO,12;14;50;;;nd
SAN POTITO SANNITICO;PASCALE GIANLUCA;MASSERIA DEI MONACI;STRADA VICINALE CERQUE DEI MONACI;8;20;;;masseriadeimonaci@libero.it
SAN TAMMARO;COLELLI MARGHERITA;I BORBONI;VIA S. ANTONIO LOC.Carditello;12;50;;;nd
SESSA AURUNCA;CAIAFA BEATRICE;HAKUNA MATATA COOP.SOCIALE;MONTE OFELIO,2;4;10;;;nd
SESSA AURUNCA;ZICCARDI WANDA GEMMA;AGRITURISMO �LA MOLARA�;FRAZ. SAN MARTINO, LOC. MOLARA;12;40;;;nd
SESSA AURUNCA;DI MARCO LUISA;DI MARCO LUISA;VIA PROVINCIALEAULPI/CORIGLIANO;5;;;;dimarco.l@pec.it
TEANO;NOTARO CAROLINA;NOTARO CAROLINA;LOC. GIUSTI,2;6;180;;;erasmonotaro@alice.it
TEANO;CAPUTO GIUSEPPE;LA NUOVA PESCHIERA;VIA 26 OTTOBRE;12;40;;;nd
TEANO;VIGNOLA ISABELLA;LA SELVA DI MONTECANNETO;FRAZ. PUGLIANO DI TEANO;12;;;;isabella.vignola@alice.it
TEANO;IPPOLITO ROSA CLELIA;MASSERIA CANTINA;LOC �CANTINA�;12;53;;;nd
VALLE DI MADDALONI;PAGLIARO MARIA;MIRAVALLE;VIA COSSA,14;;40;;;aziendamiravalle@pec.it
